reviewPriority,inducteeId,inducteeName,classYear,region,sourceProfileCount,primarySourceProfileUrl,profileAliasCount,newImageReviewCount,newProfileVideoReviewCount,newContextVideoReviewCount,relationshipReviewCount,placeReviewCount,organizationReviewCount,primaryStoryLeadCount,manualFlags,nextBestAction
high,anda-cook-2022,Anda Cook,2022,Europe,1,https://clevelandinternationalhalloffame.com/anda-cook/,0,1,0,11,14,1,5,3,image-rights-review|video-context-review|relationship-review|geography-review|organization-review|summary-approval-needed,Review new image leads for rights and portrait suitability.
high,carl-robson-2022,Carl Robson,2022,Africa,1,https://clevelandinternationalhalloffame.com/carl-robson/,0,1,0,11,14,1,2,3,image-rights-review|video-context-review|relationship-review|geography-review|organization-review|summary-approval-needed,Review new image leads for rights and portrait suitability.
high,taras-szmagala-2022,Taras Szmagala,2022,Europe,1,https://clevelandinternationalhalloffame.com/taras-szmagala/,0,1,0,11,15,2,5,3,image-rights-review|video-context-review|relationship-review|geography-review|organization-review|summary-approval-needed,Review new image leads for rights and portrait suitability.
high,berj-shakarian-2020,Berj Shakarian,2020,Europe,1,https://clevelandinternationalhalloffame.com/berj-shakarian/,0,5,0,9,17,1,4,3,image-rights-review|video-context-review|relationship-review|geography-review|organization-review|summary-approval-needed,Review new image leads for rights and portrait suitability.
high,margaret-lynch-2020,Margaret Lynch,2020,Europe,1,https://clevelandinternationalhalloffame.com/margaret-lynch/,0,1,0,11,17,1,2,3,image-rights-review|video-context-review|relationship-review|geography-review|organization-review|summary-approval-needed,Review new image leads for rights and portrait suitability.
high,may-chen-2020,May Chen,2020,Asia,1,https://clevelandinternationalhalloffame.com/may-chen/,0,3,0,9,15,1,2,3,image-rights-review|video-context-review|relationship-review|geography-review|organization-review|summary-approval-needed,Review new image leads for rights and portrait suitability.
high,ramesh-shah-2020,Ramesh Shah,2020,Asia,2,https://clevelandinternationalhalloffame.com/ramesh-shah/,1,12,0,16,21,1,1,3,profile-alias-review|duplicate-source-pages|image-rights-review|video-context-review|relationship-review|geography-review|organization-review|summary-approval-needed,Review new image leads for rights and portrait suitability.
high,akram-boutros-2019,Akram Boutros,2019,Africa,1,https://clevelandinternationalhalloffame.com/akram-boutros/,0,8,0,6,1,1,13,3,image-rights-review|video-context-review|relationship-review|geography-review|organization-review|summary-approval-needed,Review new image leads for rights and portrait suitability.
high,ingrida-bublys-2019,Ingrida Bublys,2019,Europe,1,https://clevelandinternationalhalloffame.com/ingrida-bublys/,0,14,0,10,25,1,1,3,image-rights-review|video-context-review|relationship-review|geography-review|organization-review|summary-approval-needed,Review new image leads for rights and portrait suitability.
high,marilyn-madigan-2019,Marilyn Madigan,2019,Europe,1,https://clevelandinternationalhalloffame.com/marilyn-madigan/,0,6,0,6,2,0,8,3,image-rights-review|video-context-review|relationship-review|organization-review|summary-approval-needed,Review new image leads for rights and portrait suitability.
