reviewAction,sourcePersonId,sourcePersonName,targetEntityType,targetEntityId,targetDisplayName,type,displayLabel,provenanceCandidate,confidence,evidenceCount,evidenceTypes,sourcePageUrls,referenceNote,publicUse
resolve-presenter-before-relationship,ambassador-edward-f-crawford-2024,Ambassador Edward F. Crawford,person-name,ambassador-nason,Ambassador Nason,inducted_by,Inducted by,source-name-needs-resolution,0.62,1,inducted-by-line,https://clevelandinternationalhalloffame.com/inductees/ambassador-edward-f-crawford/,Original CIHOF profile lists inducted by Ambassador Nason.,candidate-only
resolve-presenter-before-relationship,andy-chakalis-2026,Andy Chakalis,person-name,lou-frangos,Lou Frangos,inducted_by,Inducted by,source-name-needs-resolution,0.62,1,inducted-by-line,https://clevelandinternationalhalloffame.com/andy-chakalis/,Original CIHOF profile lists inducted by Lou Frangos.,candidate-only
resolve-presenter-before-relationship,andy-fedynsky-2026,Andy Fedynsky,person-name,united-ukrainian-organizations-of-ohio-president-george-e-jaskiw-m-d,"United Ukrainian Organizations of Ohio President George E. Jaskiw, M.D",inducted_by,Inducted by,source-name-needs-resolution,0.62,1,inducted-by-line,https://clevelandinternationalhalloffame.com/andy-fedynsky/,"Original CIHOF profile lists inducted by United Ukrainian Organizations of Ohio President George E. Jaskiw, M.D.",candidate-only
resolve-presenter-before-relationship,arnie-de-la-porte-2016-2016,Arnie de la Porte – 2016,person-name,the-honorary-consul-of-the-republic-of-lithuania-ingrida-bublys,the Honorary Consul of the Republic of Lithuania Ingrida Bublys,inducted_by,Inducted by,source-name-needs-resolution,0.62,1,inducted-by-line,https://clevelandinternationalhalloffame.com/arnie-de-la-porte-2016/,Original CIHOF profile lists inducted by the Honorary Consul of the Republic of Lithuania Ingrida Bublys.,candidate-only
resolve-presenter-before-relationship,atul-mehta-2018,Atul Mehta,person-name,richard-j-buoncore-managing-partner-mai-capital-management,"Richard J. Buoncore , Managing Partner, MAI Capital Management",inducted_by,Inducted by,source-name-needs-resolution,0.62,1,inducted-by-line,https://clevelandinternationalhalloffame.com/inductees-asia/atul-mehta/,"Original CIHOF profile lists inducted by Richard J. Buoncore , Managing Partner, MAI Capital Management.",candidate-only
resolve-presenter-before-relationship,basil-russo-2017,Basil Russo,person-name,daughter-gabriella-and-son-in-law-joseph-rosalina,daughter Gabriella and son-in-law Joseph Rosalina,inducted_by,Inducted by,source-name-needs-resolution,0.62,1,inducted-by-line,https://clevelandinternationalhalloffame.com/inductees-europe/basil-russo/,Original CIHOF profile lists inducted by daughter Gabriella and son-in-law Joseph Rosalina.,candidate-only
resolve-presenter-before-relationship,berj-shakarian-2020,Berj Shakarian,person-name,paul-burik-and-dr-wael-khoury,Paul Burik and Dr. Wael Khoury,inducted_by,Inducted by,source-name-needs-resolution,0.62,1,inducted-by-line,https://clevelandinternationalhalloffame.com/berj-shakarian/,Original CIHOF profile lists inducted by Paul Burik and Dr. Wael Khoury.,candidate-only
resolve-presenter-before-relationship,beverly-kerecman-2025,Beverly Kerecman,person-name,ocagc-president-lisa-wong,OCAGC President Lisa Wong,inducted_by,Inducted by,source-name-needs-resolution,0.62,1,inducted-by-line,https://clevelandinternationalhalloffame.com/beverly-kerecman/,Original CIHOF profile lists inducted by OCAGC President Lisa Wong.,candidate-only
resolve-presenter-before-relationship,bishop-anthony-pilla-2015,Bishop Anthony Pilla,person-name,sam-miller,Sam Miller,inducted_by,Inducted by,source-name-needs-resolution,0.62,1,inducted-by-line,https://clevelandinternationalhalloffame.com/bishop-anthony-pilla-2015/,Original CIHOF profile lists inducted by Sam Miller.,candidate-only
resolve-presenter-before-relationship,branka-malinar-2025,Branka Malinar,person-name,thomas-turkaly,Thomas Turkaly,inducted_by,Inducted by,source-name-needs-resolution,0.62,1,inducted-by-line,https://clevelandinternationalhalloffame.com/branka-malinar/,Original CIHOF profile lists inducted by Thomas Turkaly.,candidate-only
