id,name,classYear,region,collectionStatus,wikipediaStatus,wikipediaTitle,wikipediaUrl,wikidataStatus,wikidataId,wikidataLabel,officialSiteLeadCount,officialSiteLeadUrls,factStubCount,sourceErrorCount,officialSiteSourceErrorCount,reviewReason
hon-mary-rose-oakar-2012,Hon. Mary Rose Oakar,2012,Asia,collected-needs-review,candidates-only,,,candidates-only,,,1,https://www.bw.edu/centers/women-and-politics-of-ohio/bios/02-oakar-mary-rose/,1,0,0,Wikipedia candidates need identity review; Wikidata candidates need identity review; 1 official-site lead collected
jose-c-feliciano-2012,José C. Feliciano,2012,North America,collected-needs-review,candidates-only,,,not-found,,,2,https://business.csuohio.edu/pointsofpride/jose-feliciano|https://ochla.ohio.gov/wps/portal/gov/ochla/about/board-of-commissioners/commissioners-bios/05-jose-feliciano,2,0,0,Wikipedia candidates need identity review; no Wikidata match collected; 2 official-site leads collected
ken-kovach-2012,Ken Kovach,2012,Europe,collected-needs-review,not-found,,,not-found,,,0,,1,2,0,no Wikipedia match collected; no Wikidata match collected; no official-site lead collected
milton-maltz-2012,Milton Maltz,2012,Europe,collected-needs-review,candidates-only,,,not-found,,,0,,1,1,0,Wikipedia candidates need identity review; no Wikidata match collected; no official-site lead collected
vladimir-rus-2012,Vladimir Rus,2012,Europe,collected-needs-review,candidates-only,,,not-found,,,0,,1,1,0,Wikipedia candidates need identity review; no Wikidata match collected; no official-site lead collected
bishop-a-edward-pevec-2013,Bishop A. Edward Pevec,2013,Europe,collected-needs-review,not-found,,,not-found,,,0,,1,1,0,no Wikipedia match collected; no Wikidata match collected; no official-site lead collected
dr-maria-pujana-2013,Dr. Maria Pujana,2013,South America,collected-needs-review,not-found,,,not-found,,,2,https://www.clevelandfoundation100.org/trustees/maria-jose-pujana-2/|https://mariapujanadesigns.com/about-maria,2,2,0,no Wikipedia match collected; no Wikidata match collected; 2 official-site leads collected
jack-coyne-2013,Jack Coyne,2013,Europe,collected-needs-review,candidates-only,,,not-found,,,0,,1,1,0,Wikipedia candidates need identity review; no Wikidata match collected; no official-site lead collected
josef-holzer-2013,Josef Holzer,2013,Europe,collected-needs-review,candidates-only,,,not-found,,,1,http://flash.ulib.csuohio.edu/cmp/perk/holzer-odonnell.html,1,1,0,Wikipedia candidates need identity review; no Wikidata match collected; 1 official-site lead collected
nacy-panzica-2013,Nacy Panzica,2013,Europe,collected-needs-review,not-found,,,not-found,,,0,,1,1,0,no Wikipedia match collected; no Wikidata match collected; no official-site lead collected
ratanjit-s-sondhe-2013,Ratanjit S. Sondhe,2013,Asia,collected-needs-review,not-found,,,not-found,,,0,,1,1,0,no Wikipedia match collected; no Wikidata match collected; no official-site lead collected
samuel-h-miller-2013,Samuel H. Miller,2013,Europe,collected-needs-review,not-found,,,not-found,,,2,https://cpl.org/citation/samuel-miller-papers-and-photographs/|https://www.catholiccommunity.org/about/our-impact/sam-miller,2,1,0,no Wikipedia match collected; no Wikidata match collected; 2 official-site leads collected
donna-hom-2014,Donna Hom,2014,Asia,collected-needs-review,candidates-only,,,not-found,,,0,,1,1,0,Wikipedia candidates need identity review; no Wikidata match collected; no official-site lead collected
ernie-mihaly-2014,Ernie Mihaly,2014,Europe,collected-needs-review,not-found,,,not-found,,,0,,1,1,0,no Wikipedia match collected; no Wikidata match collected; no official-site lead collected
eugene-bak-2014,Eugene Bak,2014,Europe,collected-needs-review,candidates-only,,,not-found,,,0,,1,1,0,Wikipedia candidates need identity review; no Wikidata match collected; no official-site lead collected
