inducteeId,inducteeName,classYear,placeLabel,evidenceType,confidence,sourcePageUrl,safeguardStatus,migrationDirection
catherine-jorgensen-mccutcheon-2026,Catherine Jorgensen McCutcheon,2026,Norway,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/catherine-jorgensen-mccutcheon/,needs-geography-review,not-inferred
catherine-jorgensen-mccutcheon-2026,Catherine Jorgensen McCutcheon,2026,Scandinavia,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/catherine-jorgensen-mccutcheon/,needs-geography-review,not-inferred
dona-brady-2024,Dona Brady,2024,Albania,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/inductees/dona-brady/,needs-geography-review,not-inferred
dona-brady-2024,Dona Brady,2024,inductee,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/inductees/dona-brady/,needs-geography-review,not-inferred
dr-eugene-jordan-2024,Dr. Eugene Jordan,2024,African-American,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/inductees/dr-eugene-jordan/,needs-geography-review,not-inferred
dr-eugene-jordan-2024,Dr. Eugene Jordan,2024,inductee,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/inductees/dr-eugene-jordan/,needs-geography-review,not-inferred
erika-puussaar-2024,Erika Puussaar,2024,Estonia,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/inductees/erika-puussaar/,needs-geography-review,not-inferred
erika-puussaar-2024,Erika Puussaar,2024,Europe,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/inductees/erika-puussaar/,needs-geography-review,not-inferred
erika-puussaar-2024,Erika Puussaar,2024,inductee,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/inductees/erika-puussaar/,needs-geography-review,not-inferred
eugenia-stolarczyk-2016-2016,Eugenia Stolarczyk – 2016,2016,Eugenia Stolarczyk,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/eugenia-stolarczyk-2016/,needs-geography-review,not-inferred
eugenia-stolarczyk-2016-2016,Eugenia Stolarczyk – 2016,2016,Hejnal,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/eugenia-stolarczyk-2016/,needs-geography-review,not-inferred
eugenia-stolarczyk-2016-2016,Eugenia Stolarczyk – 2016,2016,inductee,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/eugenia-stolarczyk-2016/,needs-geography-review,not-inferred
eugenia-stolarczyk-2016-2016,Eugenia Stolarczyk – 2016,2016,Polish,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/eugenia-stolarczyk-2016/,needs-geography-review,not-inferred
georgine-welo-2023,Georgine Welo,2023,Mayor,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/georgine-welo/,needs-geography-review,not-inferred
georgine-welo-2023,Georgine Welo,2023,Serbian,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/georgine-welo/,needs-geography-review,not-inferred
ingrida-bublys-2019,Ingrida Bublys,2019,Ingrida Bublys,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/ingrida-bublys/,needs-geography-review,not-inferred
ingrida-bublys-2019,Ingrida Bublys,2019,Lithuania,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/ingrida-bublys/,needs-geography-review,not-inferred
jack-kahl-2016,Jack Kahl,2016,Irish,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/jack-kahl-2016/,needs-geography-review,not-inferred
jack-kahl-2016,Jack Kahl,2016,Jack Kahl,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/jack-kahl-2016/,needs-geography-review,not-inferred
jim-craciun-2017,Jim Craciun,2017,inductee,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/inductees-europe/jim-craciun/,needs-geography-review,not-inferred
joe-valencic-2020,Joe Valencic,2020,inductee,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/joe-valencic/,needs-geography-review,not-inferred
joe-valencic-2020,Joe Valencic,2020,Polka,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/joe-valencic/,needs-geography-review,not-inferred
joe-valencic-2020,Joe Valencic,2020,Slovenian,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/joe-valencic/,needs-geography-review,not-inferred
johnny-k-wu-2024,Johnny K. Wu,2024,Chinese,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/inductees/johnny-k-wu/,needs-geography-review,not-inferred
johnny-k-wu-2024,Johnny K. Wu,2024,inductee,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/inductees/johnny-k-wu/,needs-geography-review,not-inferred
joyce-mariani-2023,Joyce Mariani,2023,Italian,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/joyce-mariani/,needs-geography-review,not-inferred
joyce-mariani-2023,Joyce Mariani,2023,Italian Garden,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/joyce-mariani/,needs-geography-review,not-inferred
joyce-mariani-2023,Joyce Mariani,2023,Italy,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/joyce-mariani/,needs-geography-review,not-inferred
joyce-mariani-2023,Joyce Mariani,2023,opera,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/joyce-mariani/,needs-geography-review,not-inferred
