fromInducteeId,fromName,relationshipType,targetName,targetInducteeId,targetInducteeName,confidence,sourcePageUrl,needsReview
margaret-lynch-2020,Margaret Lynch,inducted_by,Gerry Quinn,,,0.62,https://clevelandinternationalhalloffame.com/margaret-lynch/,true
marilyn-madigan-2019,Marilyn Madigan,inducted_by,John O’Brien Jr. (Ohio Irish American News Publisher),,,0.62,https://clevelandinternationalhalloffame.com/marilyn-madigan/,true
may-chen-2020,May Chen,inducted_by,Margaret Wong,margaret-w-wong-2010,Margaret W. Wong,0.78,https://clevelandinternationalhalloffame.com/may-chen/,true
michael-d-polensek-2023,Michael D. Polensek,inducted_by,Joe Cimperman,,,0.62,https://clevelandinternationalhalloffame.com/michael-d-polensek/,true
mohan-bafna-2016,Mohan Bafna,inducted_by,his son Suresh Bafna,,,0.62,https://clevelandinternationalhalloffame.com/mohan-bafna-2016/,true
mohan-bafna-2016,Mohan Bafna,inducted_by,his son Suresh Bafna,,,0.62,https://clevelandinternationalhalloffame.com/induction-event-info/dr-mohan-bafna/,true
mona-alag-2017,Mona Alag,inducted_by,Sudarshan Sathe,sudarshan-sathe-2023,Sudarshan Sathe,0.78,https://clevelandinternationalhalloffame.com/inductees/mona-alag/,true
pat-dowd-2023,Pat Dowd,inducted_by,Gerry Quinn,,,0.62,https://clevelandinternationalhalloffame.com/pat-dowd/,true
paul-burik-2019,Paul Burik,inducted_by,Chris Ronayne (University Circle President),,,0.62,https://clevelandinternationalhalloffame.com/paul-burik/,true
pierre-bejjani-2023,Pierre Bejjani,inducted_by,Seven Hills Mayor Anthony D. Biasiotta,,,0.62,https://clevelandinternationalhalloffame.com/pierre-bejjani/,true
raj-aggarwal-2025,Raj Aggarwal,inducted_by,Values-in-Action President Stuart Muszynski,,,0.62,https://clevelandinternationalhalloffame.com/raj-aggarwal/,true
ralph-perk-jr-2018,Ralph Perk Jr.,inducted_by,Congresswoman Mary Rose Oakar,,,0.62,https://clevelandinternationalhalloffame.com/inductees-europe/ralph-perk-jr/,true
ramesh-shah-2020,Ramesh Shah,inducted_by,Federation of India Community Associations Board Chairman Sudarshan Sathe and welcomed to the Hall by Inaugural CIHF inductee Paramjit Singh,,,0.62,https://clevelandinternationalhalloffame.com/ramesh-shah/,true
ramesh-shah-2020,Ramesh Shah,inducted_by,Sudarshan Sathe and Paramjit Singh,,,0.62,https://clevelandinternationalhalloffame.com/ramesh-shah/,true
ramesh-shah-2020,Ramesh Shah,inducted_by,Sudarshan Sathe,sudarshan-sathe-2023,Sudarshan Sathe,0.78,https://clevelandinternationalhalloffame.com/ramesh-shah/,true
ray-pianka-2018,Ray Pianka,inducted_by,Councilman Anthony Brancatelli. Kirsten Pianka and Karen Pianka accept the award for their late father/husband Judge Ray Pianka,,,0.62,https://clevelandinternationalhalloffame.com/inductees-europe/ray-pianka/,true
rev-mikhail-mikhail-2016,Rev. Mikhail Mikhail,inducted_by,Seven Hills Mayor Richard Dell’Aquila,,,0.62,https://clevelandinternationalhalloffame.com/induction-event-info/rev-mikhail-mikhail/,true
rev-mikhail-mikhail-2016,Rev. Mikhail Mikhail,inducted_by,Seven Hills Mayor Richard Dell’Aquila,,,0.62,https://clevelandinternationalhalloffame.com/reverend-mikhail-mikhail-2016/,true
richard-fleischman-2019,Richard Fleischman,inducted_by,Ernie Mihaly,ernie-mihaly-2014,Ernie Mihaly,0.78,https://clevelandinternationalhalloffame.com/richard-fleischman/,true
sam-kim-2017,Sam Kim,inducted_by,his son Ki Kim,,,0.62,https://clevelandinternationalhalloffame.com/inductees-asia/sam-kim/,true
sheila-murphy-crawford-2018,Sheila Murphy Crawford,inducted_by,Gerry Quinn,,,0.62,https://clevelandinternationalhalloffame.com/inductees-europe/sheila-murphy-crawford/,true
shiv-k-aggarwal-2015,Shiv K. Aggarwal,inducted_by,Michael Sreshta,,,0.62,https://clevelandinternationalhalloffame.com/shiv-k-aggarwal-2015/,true
sister-alicia-alvarado-2018,Sister Alicia Alvarado,inducted_by,Jose Feliciano,jose-c-feliciano-2012,José C. Feliciano,0.78,https://clevelandinternationalhalloffame.com/inductees-south-america/sister-alicia-alvarado/,true
sree-sreenath-2019,Sree Sreenath,inducted_by,Ramesh Shah (Association of Indian Physicians of Northern Ohio),,,0.62,https://clevelandinternationalhalloffame.com/sree-sreenath/,true
sudarshan-sathe-2023,Sudarshan Sathe,inducted_by,Baiju Shah,,,0.62,https://clevelandinternationalhalloffame.com/sudarshan-sathe/,true
svetlana-stolyarova-2025,Svetlana Stolyarova,inducted_by,Dr. Anton Komar,,,0.62,https://clevelandinternationalhalloffame.com/svetlana-stolyarova/,true
valarie-mccall-2020,Valarie McCall,inducted_by,Albert Ratner,albert-b-ratner-2011,Albert B. Ratner,0.78,https://clevelandinternationalhalloffame.com/valarie-mccall/,true
veronica-dahlberg-2024,Veronica Dahlberg,inducted_by,Jasmin Santana,,,0.62,https://clevelandinternationalhalloffame.com/inductees/veronica-dahlberg/,true
wael-khoury-2017,Wael Khoury,inducted_by,Dr. Nizar Zein,,,0.62,https://clevelandinternationalhalloffame.com/inductees-asia/wael-khoury/,true
