id,name,class_year,pronunciation,source,notes
abby-mina-2018,Abby Mina,2018,,,Needs sourced pronunciation guidance before visitor display.
atul-mehta-2018,Atul Mehta,2018,,,Needs sourced pronunciation guidance before visitor display.
ralph-perk-jr-2018,Ralph Perk Jr.,2018,,,Needs sourced pronunciation guidance before visitor display.
ray-pianka-2018,Ray Pianka,2018,,,Needs sourced pronunciation guidance before visitor display.
sheila-murphy-crawford-2018,Sheila Murphy Crawford,2018,,,Needs sourced pronunciation guidance before visitor display.
sister-alicia-alvarado-2018,Sister Alicia Alvarado,2018,,,Needs sourced pronunciation guidance before visitor display.
akram-boutros-2019,Akram Boutros,2019,,,Needs sourced pronunciation guidance before visitor display.
ingrida-bublys-2019,Ingrida Bublys,2019,,,Needs sourced pronunciation guidance before visitor display.
marilyn-madigan-2019,Marilyn Madigan,2019,,,Needs sourced pronunciation guidance before visitor display.
paul-burik-2019,Paul Burik,2019,,,Needs sourced pronunciation guidance before visitor display.
richard-fleischman-2019,Richard Fleischman,2019,,,Needs sourced pronunciation guidance before visitor display.
sree-sreenath-2019,Sree Sreenath,2019,,,Needs sourced pronunciation guidance before visitor display.
berj-shakarian-2020,Berj Shakarian,2020,,,Needs sourced pronunciation guidance before visitor display.
joe-valencic-2020,Joe Valencic,2020,,,Needs sourced pronunciation guidance before visitor display.
margaret-lynch-2020,Margaret Lynch,2020,,,Needs sourced pronunciation guidance before visitor display.
may-chen-2020,May Chen,2020,,,Needs sourced pronunciation guidance before visitor display.
ramesh-shah-2020,Ramesh Shah,2020,,,Needs sourced pronunciation guidance before visitor display.
valarie-mccall-2020,Valarie McCall,2020,,,Needs sourced pronunciation guidance before visitor display.
anda-cook-2022,Anda Cook,2022,,,Needs sourced pronunciation guidance before visitor display.
carl-robson-2022,Carl Robson,2022,,,Needs sourced pronunciation guidance before visitor display.
taras-szmagala-2022,Taras Szmagala,2022,,,Needs sourced pronunciation guidance before visitor display.
victor-ruiz-2022,Victor Ruiz,2022,,,Needs sourced pronunciation guidance before visitor display.
georgine-welo-2023,Georgine Welo,2023,,,Needs sourced pronunciation guidance before visitor display.
joyce-mariani-2023,Joyce Mariani,2023,,,Needs sourced pronunciation guidance before visitor display.
michael-d-polensek-2023,Michael D. Polensek,2023,,,Needs sourced pronunciation guidance before visitor display.
pat-dowd-2023,Pat Dowd,2023,,,Needs sourced pronunciation guidance before visitor display.
pierre-bejjani-2023,Pierre Bejjani,2023,,,Needs sourced pronunciation guidance before visitor display.
ambassador-edward-f-crawford-2024,Ambassador Edward F. Crawford,2024,,,Needs sourced pronunciation guidance before visitor display.
dona-brady-2024,Dona Brady,2024,,,Needs sourced pronunciation guidance before visitor display.
dr-eugene-jordan-2024,Dr. Eugene Jordan,2024,,,Needs sourced pronunciation guidance before visitor display.
erika-puussaar-2024,Erika Puussaar,2024,,,Needs sourced pronunciation guidance before visitor display.
johnny-k-wu-2024,Johnny K. Wu,2024,,,Needs sourced pronunciation guidance before visitor display.
veronica-dahlberg-2024,Veronica Dahlberg,2024,,,Needs sourced pronunciation guidance before visitor display.
beverly-kerecman-2025,Beverly Kerecman,2025,,,Needs sourced pronunciation guidance before visitor display.
branka-malinar-2025,Branka Malinar,2025,,,Needs sourced pronunciation guidance before visitor display.
david-gilbert-2025,David Gilbert,2025,,,Needs sourced pronunciation guidance before visitor display.
mayor-frank-jackson-2025,Mayor Frank Jackson,2025,,,Needs sourced pronunciation guidance before visitor display.
raj-aggarwal-2025,Raj Aggarwal,2025,,,Needs sourced pronunciation guidance before visitor display.
svetlana-stolyarova-2025,Svetlana Stolyarova,2025,,,Needs sourced pronunciation guidance before visitor display.
aklilu-demessie-2026,Aklilu Demessie,2026,,,Needs sourced pronunciation guidance before visitor display.
andy-chakalis-2026,Andy Chakalis,2026,,,Needs sourced pronunciation guidance before visitor display.
andy-fedynsky-2026,Andy Fedynsky,2026,,,Needs sourced pronunciation guidance before visitor display.
catherine-jorgensen-mccutcheon-2026,Catherine Jorgensen McCutcheon,2026,,,Needs sourced pronunciation guidance before visitor display.
le-nguyen-2026,Le Nguyen,2026,,,Needs sourced pronunciation guidance before visitor display.
lucy-torres-2026,Lucy Torres,2026,,,Needs sourced pronunciation guidance before visitor display.
