placeId,placeName,band,person,displayName,harvestedKind,currentRole,role,decisionReference,note
place:sai-gon-plaza,Sai Gon Plaza,researched,dr-dieu-thuc-do-2010,Dr. Dieu Thuc Do,associated_with_place,,,,
place:sai-gon-plaza,Sai Gon Plaza,researched,giahoa-ryan-2011,Giahoa Ryan,associated_with_place,founded,,,
place:united-states,United States,lead,giahoa-ryan-2011,Giahoa Ryan,moved_to,,,,
place:united-states,United States,lead,shiv-k-aggarwal-2015,Shiv K. Aggarwal,moved_to,,,,
place:ashtabula,Ashtabula,lead,veronica-dahlberg-2024,Veronica Dahlberg,moved_to,lived,,,
place:beachwood-ohio,"Beachwood, Ohio",lead,alex-machaskee-2010,Alex Machaskee,lived_in,lived,,,
place:bentleyville-oh,"Bentleyville, OH",lead,taras-szmagala-2022,Taras Szmagala,lived_in,lived,,,
place:cairo-egypt,"Cairo, Egypt",lead,rev-mikhail-mikhail-2016,Rev. Mikhail Mikhail,born_in,,,,
place:can-tho-vietnam,"Can Tho, Vietnam",lead,le-nguyen-2026,Le Nguyen,born_in,,,,
place:canton-ohio,"Canton, Ohio",lead,veronica-dahlberg-2024,Veronica Dahlberg,born_in,,,,
place:cleveland,Cleveland,lead,rev-mikhail-mikhail-2016,Rev. Mikhail Mikhail,moved_to,,,,
place:detroit-michigan,"Detroit, Michigan",lead,erika-puussaar-2024,Erika Puussaar,moved_to,,,,
place:east-technical-high-school,East Technical High School,researched,mayor-frank-jackson-2025,Mayor Frank Jackson,associated_with_place,,,,
place:garracloon-county-mayo,"Garracloon, County Mayo",lead,gerald-m-quinn-2011,Gerald M. Quinn,born_in,,,,
place:greater-cleveland-ethnographic-museum,Greater Cleveland Ethnographic Museum,researched,august-pust-2010,August Pust,associated_with_place,founded,,,
place:guangdong-province-in-southern-china,Guangdong province in southern China,lead,donna-hom-2014,Donna Hom,born_in,,,,
place:hong-kong,Hong Kong,lead,johnny-k-wu-2024,Johnny K. Wu,born_in,,,,
place:india,India,lead,shiv-k-aggarwal-2015,Shiv K. Aggarwal,born_in,,,,
place:kurnool,Kurnool,lead,vijaya-l-emani-2011,Vijaya L. Emani,born_in,,,,
place:la-grange-ga,"La Grange, GA",lead,reverend-dr-otis-moss-jr-2011,"Reverend Dr. Otis Moss, Jr.",born_in,,,,
place:max-s-hayes-high-school,Max S. Hayes High School,researched,mayor-frank-jackson-2025,Mayor Frank Jackson,associated_with_place,studied,,,
place:poland,Poland,lead,eugene-bak-2014,Eugene Bak,born_in,,,,
place:puerto-rico,Puerto Rico,lead,victor-ruiz-2022,Victor Ruiz,born_in,,,,
place:rach-gia-viet-nam,"Rach Gia, Viet Nam",lead,dr-dieu-thuc-do-2010,Dr. Dieu Thuc Do,born_in,,,,
place:rijeka-flume-croatia,"Rijeka (Flume), Croatia",lead,vladimir-rus-2012,Vladimir Rus,born_in,,,,
place:shaker-heights,Shaker Heights,lead,jack-coyne-2013,Jack Coyne,lived_in,lived,,,
place:st-clair-superior,St. Clair-Superior,researched,carl-robson-2022,Carl Robson,associated_with_place,worked,,,
place:st-colman-church,St. Colman Church,researched,fr-jim-o-donnell-2012,Fr. Jim O’Donnell,associated_with_place,served,,,
place:utuado-puerto-rico,"Utuado, Puerto Rico",lead,honorable-jose-a-villanueva-2015,Honorable José A. Villanueva,born_in,,,,
place:vietnam,Vietnam,lead,giahoa-ryan-2011,Giahoa Ryan,born_in,,,,
place:villalba-puerto-rico,"Villalba, Puerto Rico",lead,sister-alicia-alvarado-2018,Sister Alicia Alvarado,born_in,,,,
place:warren-ohio-mr,"Warren, Ohio, Mr",lead,alex-machaskee-2010,Alex Machaskee,born_in,,,,
place:yauco-puerto-rico,"Yauco, Puerto Rico",lead,jose-c-feliciano-2012,José C. Feliciano,born_in,,,,
place:youngstown-ohio,"Youngstown, Ohio",lead,lucretia-stoica-2011,Lucretia Stoica,born_in,,,,
