tieId,personA,personAName,personB,personBName,sourceType,suggestedKind,verificationLayer,evidence,sourceUrls,corpusIds,currentStatus,decision,kind,label,inverseLabel,decisionReference,note
preview:person-rel:897f566075161f,jim-craciun-2017,Jim Craciun,dick-pogue-2015,Dick Pogue,documented_mention,,documented-in-profile,"Jim Craciun and Matt Zone Matt Zone inducting Jim Craciun Jim Craciun giving his acceptance remarks Father Remus Grama from St Mary Romanian Orthodox Cathedral gave the invocation Inductees Mona Alag and Jim Craciun Inductees Mona Alag, Jim Craciun and Basil Russo Jim Craciun with friends and family Tom Patton, Dick Pogue, Jim Craciun, Rocky and Kelli Perk.",https://clevelandinternationalhalloffame.com/jim-craciun/,person-rel:897f566075161f,context,,,,,,
preview:person-rel:a9a22722d7309e,johnny-k-wu-2024,Johnny K. Wu,aklilu-demessie-2026,Aklilu Demessie,documented_mention,,documented-in-profile,"Russ Mitcehll introduces Margaret Wong Margaret Wong inducting Johnny Wu Margaret Wong inducts Johnny Wu Margaret Wong and Johnny Wu Johnny Wu Hall of Fame acceptance speech Anjan Ghose, Dan Monroe, Ying Pu and Margaret Wong watching Johnny Wu speak Margaret Wong, Johnny Wu and Lisa and Wayne Wong Eddie Ni Table Li Wah Table Johnny Wu Table Johnny Wu and friends Li Wah Table Ethiopian leader Aklilu Demessie with Johnny Wu and Bill Franklin Johnny Wu friends selfie Li Wah/Asia Plaza Johnny Wu and Nick Mulbach Johnny Wu and Nada Martinovic Johnny Wu and Anthony Yen Johnny Wu and friends Johnny K.",https://clevelandinternationalhalloffame.com/inductees/johnny-k-wu/,person-rel:a9a22722d7309e,context,,,,,,
preview:person-rel:1f7ceed61f472a,le-nguyen-2026,Le Nguyen,mayor-frank-jackson-2025,Mayor Frank Jackson,documented_mention,,documented-in-profile,He later served as the city’s Asian Liaison under Mayor Michael White and continued his work through the administrations of Mayor Jane Campbell and Mayor Frank Jackson.,https://clevelandinternationalhalloffame.com/le-nguyen-class-of-2026-vietnames-heritage-cleveland-international-hall-of-fame/,person-rel:1f7ceed61f472a,relationship,,,,,,
preview:person-rel:5e81381bc906c0,le-nguyen-2026,Le Nguyen,valarie-mccall-2020,Valarie McCall,documented_mention,,documented-in-profile,But he wrote his remarks which were read by the Mayor’s former Chief of Staff Valarie McCall.,https://clevelandinternationalhalloffame.com/le-nguyen-class-of-2026-vietnames-heritage-cleveland-international-hall-of-fame/,person-rel:5e81381bc906c0,relationship,,,,,,
preview:person-rel:b6d6c274603e3d,paramjit-singh-2010,Paramjit Singh,senator-george-voinovich-2010,Senator George Voinovich,documented_mention,,documented-in-profile,"He has served as President of FICA, Vice President NFIA, President of American Society of Engineers of Indian Origin, Cleveland Chapter, Founding member of Asian-Indian-American Business Group, Asian-Indian-American for Better Government, Executive member of Cleveland Mayor George Voinovich’s Asian Advisory Council, and more.",https://clevelandinternationalhalloffame.com/paramjit-singh-2010/,person-rel:b6d6c274603e3d,relationship,,,,,,
preview:person-rel:e0392db8b27982,samuel-h-miller-2013,Samuel H. Miller,nacy-panzica-2013,Nacy Panzica,documented_mention,,documented-in-profile,Nacy Panzica Nacy Panzica has been in the construction industry for over 60 years.,https://clevelandinternationalhalloffame.com/sam-miller-2013/,person-rel:e0392db8b27982,context,,,,,,
preview:person-rel:bf085364d09f59,ralph-j-perk-2011,Ralph J. Perk,senator-george-voinovich-2010,Senator George Voinovich,electoral_relationship,,documented-in-profile,"In 1971 he won the Republican primary, beating out George Voinovich.",https://clevelandinternationalhalloffame.com/ralph-perk-2011/mayor-ralph-perk-2011/,person-rel:bf085364d09f59,relationship,,,,,,
preview:person-rel:0622edc19194e9,tony-petkovsek-2011,Tony Petkovsek,senator-george-voinovich-2010,Senator George Voinovich,friend,,documented-in-profile,He later served Governor Voinovich on the Ohio Arts Council and also emceed two gubernatorial innaugurations in Columbus for longtime friend George Voinovich.,https://clevelandinternationalhalloffame.com/tony-petkovsek-2011/,person-rel:0622edc19194e9,relationship,,,,,,
preview:person-rel:6d69f4f9d65b17,sister-alicia-alvarado-2018,Sister Alicia Alvarado,jose-c-feliciano-2012,José C. Feliciano,joint_oral_history_participant,,finding-aid-and-opened-online-source,"Sister Alicia Alvarado and José C. Feliciano participated in the same September 18, 2017 Stokes oral-history interview.",https://catalog.wrhs.org/collections/view?docId=ead/MS5416.xml,person-rel:6d69f4f9d65b17,relationship,,,,,,
preview:person-rel:f4681a01a1ab23,le-nguyen-2026,Le Nguyen,senator-george-voinovich-2010,Senator George Voinovich,public_service_relationship,,documented-in-profile,"His work quickly earned the trust of city leadership, and under Mayor George Voinovich, Le became a key figure in community relations.",https://clevelandinternationalhalloffame.com/le-nguyen-class-of-2026-vietnames-heritage-cleveland-international-hall-of-fame/,person-rel:f4681a01a1ab23,relationship,,,,,,
preview:person-rel:1786508f3c767c,lucy-torres-2026,Lucy Torres,mayor-frank-jackson-2025,Mayor Frank Jackson,public_service_relationship,,documented-in-profile,"Her leadership extended into municipal government, where she served as a community liaison under Mayor Frank Jackson from 2006 to 2016.",https://clevelandinternationalhalloffame.com/lucy-torres/,person-rel:1786508f3c767c,relationship,,,,,,
