id,name,classYear,sourceRuntimePath,sourceWidth,sourceHeight,normalResolution,shortestSide,aspectRatio,fileSizeBytes,fileSizeLabel,qualityLabel,fitMode,reviewFlags,reviewRecommendation,rightsStatus,approvedForKiosk
fr-jim-o-donnell-2012,Fr. Jim O’Donnell,2012,/media/images/fr-jim-o-donnell-2012/primary.jpg,298,302,298 x 302,298,0.987,28499,27.8 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
hon-mary-rose-oakar-2012,Hon. Mary Rose Oakar,2012,/media/images/hon-mary-rose-oakar-2012/primary.jpg,298,302,298 x 302,298,0.987,23086,22.5 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
jose-c-feliciano-2012,José C. Feliciano,2012,/media/images/jose-c-feliciano-2012/primary.jpg,298,302,298 x 302,298,0.987,28658,28.0 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
ken-kovach-2012,Ken Kovach,2012,/media/images/ken-kovach-2012/primary.jpg,298,302,298 x 302,298,0.987,25740,25.1 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
milton-maltz-2012,Milton Maltz,2012,/media/images/milton-maltz-2012/primary.jpg,298,302,298 x 302,298,0.987,34837,34.0 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
vladimir-rus-2012,Vladimir Rus,2012,/media/images/vladimir-rus-2012/primary.jpg,298,302,298 x 302,298,0.987,31632,30.9 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
bishop-a-edward-pevec-2013,Bishop A. Edward Pevec,2013,/media/images/bishop-a-edward-pevec-2013/primary.jpg,298,302,298 x 302,298,0.987,22103,21.6 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
dr-maria-pujana-2013,Dr. Maria Pujana,2013,/media/images/dr-maria-pujana-2013/primary.jpg,298,302,298 x 302,298,0.987,35546,34.7 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
jack-coyne-2013,Jack Coyne,2013,/media/images/jack-coyne-2013/primary.jpg,298,302,298 x 302,298,0.987,26292,25.7 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
josef-holzer-2013,Josef Holzer,2013,/media/images/josef-holzer-2013/primary.jpg,298,302,298 x 302,298,0.987,32881,32.1 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
nacy-panzica-2013,Nacy Panzica,2013,/media/images/nacy-panzica-2013/primary.jpg,298,302,298 x 302,298,0.987,25549,25.0 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
ratanjit-s-sondhe-2013,Ratanjit S. Sondhe,2013,/media/images/ratanjit-s-sondhe-2013/primary.jpg,298,302,298 x 302,298,0.987,30695,30.0 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
samuel-h-miller-2013,Samuel H. Miller,2013,/media/images/samuel-h-miller-2013/primary.jpg,298,302,298 x 302,298,0.987,25237,24.6 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
donna-hom-2014,Donna Hom,2014,/media/images/donna-hom-2014/primary.jpg,298,302,298 x 302,298,0.987,34013,33.2 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
ernie-mihaly-2014,Ernie Mihaly,2014,/media/images/ernie-mihaly-2014/primary.jpg,298,302,298 x 302,298,0.987,31305,30.6 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
eugene-bak-2014,Eugene Bak,2014,/media/images/eugene-bak-2014/primary.jpg,298,302,298 x 302,298,0.987,26070,25.5 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
jim-foster-2014,Jim Foster,2014,/media/images/jim-foster-2014/primary.jpg,298,302,298 x 302,298,0.987,25038,24.5 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
joseph-p-meissner-2014,Joseph P Meissner,2014,/media/images/joseph-p-meissner-2014/primary.jpg,298,302,298 x 302,298,0.987,25296,24.7 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
margaret-callander-2014,Margaret Callander,2014,/media/images/margaret-callander-2014/primary.jpg,298,302,298 x 302,298,0.987,27188,26.6 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
monte-ahuja-2014,Monte Ahuja,2014,/media/images/monte-ahuja-2014/primary.jpg,298,302,298 x 302,298,0.987,22466,21.9 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
thomas-j-scanlon-2014,Thomas J. Scanlon,2014,/media/images/thomas-j-scanlon-2014/primary.jpg,298,302,298 x 302,298,0.987,24296,23.7 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
bishop-anthony-pilla-2015,Bishop Anthony Pilla,2015,/media/images/bishop-anthony-pilla-2015/primary.jpg,298,302,298 x 302,298,0.987,78321,76.5 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
dick-pogue-2015,Dick Pogue,2015,/media/images/dick-pogue-2015/primary.jpg,298,302,298 x 302,298,0.987,31777,31.0 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
dick-russ-2015,Dick Russ,2015,/media/images/dick-russ-2015/primary.jpg,298,302,298 x 302,298,0.987,18700,18.3 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
honorable-jose-a-villanueva-2015,Honorable José A. Villanueva,2015,/media/images/honorable-jose-a-villanueva-2015/primary.jpg,298,302,298 x 302,298,0.987,44972,43.9 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
richard-a-ganim-2015,Richard A. Ganim,2015,/media/images/richard-a-ganim-2015/primary.jpg,298,302,298 x 302,298,0.987,26410,25.8 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
shiv-k-aggarwal-2015,Shiv K. Aggarwal,2015,/media/images/shiv-k-aggarwal-2015/primary.jpg,298,302,298 x 302,298,0.987,22452,21.9 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
steve-mulloy-2015,Steve Mulloy,2015,/media/images/steve-mulloy-2015/primary.jpg,298,302,298 x 302,298,0.987,25953,25.3 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
arnie-de-la-porte-2016-2016,Arnie de la Porte – 2016,2016,/media/images/arnie-de-la-porte-2016-2016/primary.jpg,1500,2118,1500 x 2118,1500,0.708,1362787,1.3 MB,high-resolution-source,cover,,Use generated display crops unless curator review identifies a better focal crop.,needs-review,no
carolyn-balogh-2016-2016,Carolyn Balogh – 2016,2016,/media/images/carolyn-balogh-2016-2016/primary.jpg,500,655,500 x 655,500,0.763,324883,317.3 KB,usable-source,cover,usable-but-small-source,Usable for prototype display; prioritize a higher-resolution source for final installation.,needs-review,no
eugenia-stolarczyk-2016-2016,Eugenia Stolarczyk – 2016,2016,/media/images/eugenia-stolarczyk-2016-2016/primary.jpg,500,753,500 x 753,500,0.664,249611,243.8 KB,usable-source,cover,usable-but-small-source,Usable for prototype display; prioritize a higher-resolution source for final installation.,needs-review,no
jack-kahl-2016,Jack Kahl,2016,/media/images/jack-kahl-2016/primary.jpg,500,691,500 x 691,500,0.724,333293,325.5 KB,usable-source,cover,usable-but-small-source,Usable for prototype display; prioritize a higher-resolution source for final installation.,needs-review,no
khalid-samad-2016-2016,Khalid Samad – 2016,2016,/media/images/khalid-samad-2016-2016/primary.jpg,500,500,500 x 500,500,1,165561,161.7 KB,usable-source,cover,usable-but-small-source,Usable for prototype display; prioritize a higher-resolution source for final installation.,needs-review,no
mohan-bafna-2016,Mohan Bafna,2016,/media/images/mohan-bafna-2016/primary.jpg,500,598,500 x 598,500,0.836,263004,256.8 KB,usable-source,cover,usable-but-small-source,Usable for prototype display; prioritize a higher-resolution source for final installation.,needs-review,no
rev-mikhail-mikhail-2016,Rev. Mikhail Mikhail,2016,/media/images/rev-mikhail-mikhail-2016/primary.jpg,500,776,500 x 776,500,0.644,447846,437.3 KB,usable-source,cover,usable-but-small-source,Usable for prototype display; prioritize a higher-resolution source for final installation.,needs-review,no
basil-russo-2017,Basil Russo,2017,/media/images/basil-russo-2017/primary.jpg,500,625,500 x 625,500,0.8,151808,148.3 KB,usable-source,cover,usable-but-small-source,Usable for prototype display; prioritize a higher-resolution source for final installation.,needs-review,no
bill-miller-2017,Bill Miller,2017,/media/images/bill-miller-2017/primary.jpg,500,733,500 x 733,500,0.682,223424,218.2 KB,usable-source,cover,usable-but-small-source,Usable for prototype display; prioritize a higher-resolution source for final installation.,needs-review,no
jim-craciun-2017,Jim Craciun,2017,/media/images/jim-craciun-2017/primary.jpg,500,719,500 x 719,500,0.695,223304,218.1 KB,usable-source,cover,usable-but-small-source,Usable for prototype display; prioritize a higher-resolution source for final installation.,needs-review,no
mona-alag-2017,Mona Alag,2017,/media/images/mona-alag-2017/primary.jpg,500,585,500 x 585,500,0.855,210635,205.7 KB,usable-source,cover,usable-but-small-source,Usable for prototype display; prioritize a higher-resolution source for final installation.,needs-review,no
sam-kim-2017,Sam Kim,2017,/media/images/sam-kim-2017/primary.jpg,500,618,500 x 618,500,0.809,104501,102.1 KB,usable-source,cover,usable-but-small-source,Usable for prototype display; prioritize a higher-resolution source for final installation.,needs-review,no
wael-khoury-2017,Wael Khoury,2017,/media/images/wael-khoury-2017/primary.jpg,500,550,500 x 550,500,0.909,82444,80.5 KB,usable-source,cover,usable-but-small-source,Usable for prototype display; prioritize a higher-resolution source for final installation.,needs-review,no
abby-mina-2018,Abby Mina,2018,/media/images/abby-mina-2018/primary.jpg,500,511,500 x 511,500,0.978,176588,172.4 KB,usable-source,cover,usable-but-small-source,Usable for prototype display; prioritize a higher-resolution source for final installation.,needs-review,no
atul-mehta-2018,Atul Mehta,2018,/media/images/atul-mehta-2018/primary.jpg,500,625,500 x 625,500,0.8,203997,199.2 KB,usable-source,cover,usable-but-small-source,Usable for prototype display; prioritize a higher-resolution source for final installation.,needs-review,no
ralph-perk-jr-2018,Ralph Perk Jr.,2018,/media/images/ralph-perk-jr-2018/primary.jpg,500,604,500 x 604,500,0.828,229615,224.2 KB,usable-source,cover,usable-but-small-source,Usable for prototype display; prioritize a higher-resolution source for final installation.,needs-review,no
ray-pianka-2018,Ray Pianka,2018,/media/images/ray-pianka-2018/primary.jpg,500,700,500 x 700,500,0.714,129538,126.5 KB,usable-source,cover,usable-but-small-source,Usable for prototype display; prioritize a higher-resolution source for final installation.,needs-review,no
sheila-murphy-crawford-2018,Sheila Murphy Crawford,2018,/media/images/sheila-murphy-crawford-2018/primary.jpg,500,610,500 x 610,500,0.82,215402,210.4 KB,usable-source,cover,usable-but-small-source,Usable for prototype display; prioritize a higher-resolution source for final installation.,needs-review,no
