id,approved_nationality_heritage_tags,nationality_heritage_note
bill-miller-2017,Polish|German,"Heritage corrected 2026-09-22: Polish and German, replacing an earlier Slovenian attribution."
ralph-j-perk-2011,Czech|Slovak,"Slovak heritage added alongside Czech, 2026-09-22."
dick-pogue-2015,Scotch-Irish,"Scotch-Irish heritage recorded 2026-09-22. Supersedes the earlier note that no nationality tag was assigned; the Jones Day community tag is the basis of the induction and is unchanged."
