recordedName,decision,inducteeId,decisionReference,note
Gerry Quinn,inductee,gerald-m-quinn-2011,names-review-2026-09-23,"Gerald M. Quinn on the official inductee list; Gerry is the same person."
Mike Polensek,inductee,michael-d-polensek-2023,names-review-2026-09-23,"Michael Polensek on the official inductee list."
Tom Scanlon,inductee,thomas-j-scanlon-2014,names-review-2026-09-23,"Thomas J. Scanlon on the official inductee list."
